,Name,BI_LSTM-RI,NONE_TRPLT-RI,NONE_MREC-RI,NONE_VAE-RI,IDEC_TRPLT-RI,BI_GRU-RI,RES_CNN-RI,IDEC_REC-RI,D_RNN-RI,IDEC_MREC-RI,NONE_CNRV-RI,BI_RNN-RI,NONE_REC-RI,D_CNN-RI,MLP-RI,S_CNN-RI,BI_RNN+ATTN-RI,IDEC_CNRV-RI,IDEC_VAE-RI,BI_LSTM-ARI,NONE_TRPLT-ARI,NONE_MREC-ARI,NONE_VAE-ARI,IDEC_TRPLT-ARI,BI_GRU-ARI,RES_CNN-ARI,IDEC_REC-ARI,D_RNN-ARI,IDEC_MREC-ARI,NONE_CNRV-ARI,BI_RNN-ARI,NONE_REC-ARI,D_CNN-ARI,MLP-ARI,S_CNN-ARI,BI_RNN+ATTN-ARI,IDEC_CNRV-ARI,IDEC_VAE-ARI,BI_LSTM-NMI,NONE_TRPLT-NMI,NONE_MREC-NMI,NONE_VAE-NMI,IDEC_TRPLT-NMI,BI_GRU-NMI,RES_CNN-NMI,IDEC_REC-NMI,D_RNN-NMI,IDEC_MREC-NMI,NONE_CNRV-NMI,BI_RNN-NMI,NONE_REC-NMI,D_CNN-NMI,MLP-NMI,S_CNN-NMI,BI_RNN+ATTN-NMI,IDEC_CNRV-NMI,IDEC_VAE-NMI
0,ACSF1,0.308844221,0.842098805,0.751027,0.853175014,0.827212007,0.6198725,0.822815,0.840492,0.819835531,0.794206,0.861434953,0.6775,0.829281,0.71944,0.62231125,0.72230375,0.77653625,0.860496231,0.855876823,0.015300895,0.248880188,0.191583,0.29588554,0.289243874,0.0724,0.24596,0.270628,0.246902801,0.23881,0.265154144,0.1226025,0.256448,0.2262275,0.09963875,0.242925,0.20314625,0.253597972,0.301707875,0.184614525,0.517913551,0.40545,0.524660871,0.507735917,0.2863425,0.500835,0.514079,0.478306374,0.516512,0.479410533,0.35815875,0.511617,0.4948775,0.3283175,0.49621875,0.48755625,0.471856878,0.54168158
1,Adiac,0.872750254,0.934945458,0.943775,0.948448085,0.93346732,0.92473125,0.93475375,0.932765,0.926143331,0.941349,0.960453579,0.93648125,0.934833,0.938755,0.932845,0.93884,0.9391025,0.961300847,0.959904514,0.121516177,0.149888939,0.2349,0.183946068,0.165003944,0.09381875,0.0764475,0.088725,0.145964321,0.194012,0.346772981,0.1420975,0.087045,0.17796875,0.243895,0.20247125,0.17571,0.341825219,0.20504055,0.490347979,0.513983272,0.595355,0.524625488,0.510685991,0.4208975,0.3890675,0.398987,0.475127717,0.537255,0.665686146,0.48858875,0.40393,0.53952375,0.61410875,0.55654125,0.53034,0.659515264,0.540099217
2,AllGestureWiimoteX,0.78780981,0.803331526,0.768444,0.813964683,0.804033708,0.6790575,0.7040575,0.643513,0.793792255,0.741646,0.82392904,0.7432925,0.652852,0.71211875,0.5184075,0.7515625,0.75993,0.824118619,0.830376809,0.061194061,0.043842069,0.101264,0.08337727,0.060171093,0.06145625,0.1055025,0.099835,0.032001933,0.098275,0.0736249,0.03545125,0.086124,0.08649375,0.036355,0.10932375,0.08342625,0.071050751,0.096257042,0.170178302,0.134200358,0.234329,0.147472169,0.12667483,0.1835725,0.27183125,0.270622,0.100364222,0.233392,0.177682205,0.12559625,0.245855,0.2431575,0.1447925,0.2507025,0.22483,0.170024309,0.161143082
3,AllGestureWiimoteY,0.798812813,0.817589731,0.775115,0.825818307,0.815460616,0.7526875,0.78414625,0.782658,0.804328703,0.789153,0.829077522,0.728075,0.785018,0.76447,0.65626125,0.7694675,0.773005,0.832024525,0.843164457,0.125000833,0.076833838,0.055006,0.12519105,0.095126156,0.061555,0.065845,0.068603,0.078718526,0.065531,0.111138826,0.05902875,0.062877,0.069465,0.02388375,0.07620375,0.06281125,0.107628431,0.137213096,0.259858385,0.20160774,0.15903,0.211135885,0.188587904,0.16082875,0.169065,0.171203,0.163815849,0.168915,0.242332201,0.16464875,0.158466,0.17396,0.0898925,0.18779375,0.1867075,0.234378656,0.229429052
4,AllGestureWiimoteZ,0.772844845,0.80650279,0.807467,0.816061746,0.8065062,0.665905,0.8049,0.805874,0.795230088,0.805734,0.832415972,0.76948875,0.806258,0.80493875,0.75788625,0.79641625,0.8106375,0.830323073,0.832529391,0.036826859,0.043936501,0.073363,0.081598435,0.056952642,0.030335,0.04107625,0.042572,0.031032742,0.0666,0.092357872,0.04665125,0.040469,0.0770325,0.0355775,0.03843875,0.04104,0.079641768,0.097633048,0.127687124,0.127798561,0.176067,0.143500854,0.119983102,0.13504375,0.10578875,0.10898,0.089669567,0.157985,0.194058551,0.168375,0.102119,0.18116,0.1049375,0.10860625,0.1109675,0.173165554,0.153884414
5,ArrowHead,0.571699391,0.55204529,0.612094,0.556611112,0.560766256,0.52334625,0.635285,0.626442,0.55928014,0.618289,0.668993706,0.5430375,0.615325,0.61028,0.61353,0.62554125,0.59961125,0.653763259,0.577649639,0.190499105,0.14584441,0.188371,0.188686944,0.15835181,0.07355625,0.23329875,0.220126,0.140029339,0.196889,0.260900778,0.07881625,0.195531,0.2503025,0.21811625,0.23690375,0.17938125,0.231953317,0.182374787,0.29782006,0.244429187,0.245703,0.249139553,0.230499612,0.107635,0.26928875,0.26087,0.200758182,0.247105,0.252700396,0.07422,0.258502,0.300085,0.28654875,0.27783125,0.22885375,0.233877619,0.265366479
6,Beef,0.592655367,0.657871629,0.601199,0.668519484,0.678922126,0.64048,0.65954125,0.656836,0.664586026,0.587003,0.627491551,0.65242625,0.63681,0.61112,0.613345,0.6156975,0.5888025,0.62849162,0.700465415,0.034849688,0.090818352,0.133548,0.122127784,0.085730881,0.225085,0.25125375,0.235422,0.050246004,0.158923,0.167093204,0.267675,0.211945,0.12451875,0.12994875,0.16425875,0.12843375,0.167671528,0.13193482,0.227191092,0.288867076,0.215828,0.291714579,0.27995372,0.30137375,0.30405625,0.282038,0.243745674,0.226389,0.213948568,0.37833,0.27115,0.17058375,0.1756225,0.22191,0.1914825,0.223508183,0.300578964
7,BeetleFly,0.533333333,0.469780104,0.662726,0.478638326,0.469523788,0.6764125,0.64470375,0.638475,0.459938062,0.67209,0.696547395,0.6831225,0.60223,0.60322125,0.63502875,0.6426,0.6600275,0.700564972,0.495347917,0.077942323,-0.039052171,0.195462,0.001066587,-0.021558279,0.11350125,0.070645,0.069121,-0.048439313,0.100612,0.078604324,0.09293625,0.053278,0.06806625,0.070675,0.06808125,0.0621325,0.081486804,0.01227081,0.210200794,0.004885784,0.305419,0.011169751,-0.007198394,0.29791375,0.28077875,0.284021,-0.036398843,0.302025,0.231901049,0.275265,0.202566,0.28370625,0.28945375,0.277275,0.239365,0.234192811,0.027902249
8,BirdChicken,0.55,0.513473717,0.630158,0.515583453,0.515392206,0.55609,0.51746625,0.525127,0.50154377,0.668333,0.68960114,0.55977625,0.588946,0.52116,0.56073625,0.54070375,0.627725,0.691826923,0.552475982,0.109310951,0.042396087,0.259105,0.096908247,0.070999025,0.1163975,0.03563625,0.051987,0.050436311,0.337313,0.380261361,0.122325,0.166175,0.05203625,0.1218725,0.28181875,0.25682625,0.384555038,0.127517836,0.242037017,0.090529075,0.254854,0.052542018,0.057118678,0.1321075,0.04724,0.064885,0.022483877,0.319981,0.37844037,0.14539125,0.188328,0.06184375,0.1107675,0.243665,0.2420125,0.37314648,0.098061636
9,BME,0.55946617,0.559128635,0.709727,0.588371986,0.576282898,0.49342875,0.51874875,0.509358,0.569677829,0.576154,0.700569801,0.495515,0.57069,0.510232647,0.52612,0.5078525,0.4919875,0.70849359,0.604091388,0.145538463,0.113979987,0.38163,0.150460355,0.126481635,-0.01171,0.036905,0.018287,0.102643615,0.15223,0.400786909,-0.008345,0.084211,0.06929,0.0534175,0.0153625,-0.00432375,0.416662414,0.17606901,0.2106349,0.202708688,0.419773,0.196972149,0.18544291,0.0094625,0.0450225,0.031771,0.160776827,0.140658,0.327840813,0.01268625,0.124242,0.06947625,0.0606575,0.02961375,0.01319,0.342329614,0.217397781
