,Name,PAM-Unsupervised-SWALE-RI,PAM-Unsupervised-EDR-RI,PAM-Supervised-SWALE-RI,PAM-Supervised-EDR-RI,PAM-Supervised-MSM-RI,PAM-Supervised-DTW-RI,PAM-Unsupervised-LCSS-RI,PAM-Supervised-ERP-RI,PAM-Supervised-LCSS-RI,PAM-Unsupervised-TWED-RI,PAM-Unsupervised-ERP-RI,PAM-Supervised-TWED-RI,PAM-Unsupervised-DTW-RI,PAM-Unsupervised-MSM-RI,k-Shape-RI,PAM-Unsupervised-SWALE-ARI,PAM-Unsupervised-EDR-ARI,PAM-Supervised-SWALE-ARI,PAM-Supervised-EDR-ARI,PAM-Supervised-MSM-ARI,PAM-Supervised-DTW-ARI,PAM-Unsupervised-LCSS-ARI,PAM-Supervised-ERP-ARI,PAM-Supervised-LCSS-ARI,PAM-Unsupervised-TWED-ARI,PAM-Unsupervised-ERP-ARI,PAM-Supervised-TWED-ARI,PAM-Unsupervised-DTW-ARI,PAM-Unsupervised-MSM-ARI,k-Shape-ARI,PAM-Unsupervised-SWALE-NMI,PAM-Unsupervised-EDR-NMI,PAM-Supervised-SWALE-NMI,PAM-Supervised-EDR-NMI,PAM-Supervised-MSM-NMI,PAM-Supervised-DTW-NMI,PAM-Unsupervised-LCSS-NMI,PAM-Supervised-ERP-NMI,PAM-Supervised-LCSS-NMI,PAM-Unsupervised-TWED-NMI,PAM-Unsupervised-ERP-NMI,PAM-Supervised-TWED-NMI,PAM-Unsupervised-DTW-NMI,PAM-Unsupervised-MSM-NMI,k-Shape-NMI
0,ACSF1,0.816767676767677,0.834848485,0.8044646459999999,0.83040404,0.802525253,0.774767677,0.831818182,0.803111111,0.80820202,0.818282828,0.803111111,0.816909091,0.7718181820000001,0.8232929290000001,0.74220202,0.173336647609578,0.176203799,0.20645009600000003,0.213838776,0.190654602,0.139315498,0.166561456,0.173685665,0.20321782800000002,0.20108701699999998,0.173685665,0.188706006,0.142401337,0.207185707,0.133058269,0.40730973573166,0.436343286,0.483844434,0.47341464200000005,0.467507525,0.40255744,0.42842971399999996,0.440943239,0.48298134600000003,0.465706952,0.440943239,0.456443025,0.415646147,0.470794014,0.416700095
1,Adiac,0.935495352976073,0.950789005,0.786992288,0.941945818,0.951701272,0.955343748,0.9524487509999999,0.95163272,0.7890712540000001,0.950939292,0.95163272,0.951917474,0.9536826840000001,0.951338738,0.9486770809999999,0.236372900454532,0.26816394600000004,0.071188036,0.227136013,0.23665713,0.251026393,0.26934491,0.237142432,0.075571123,0.22394970100000003,0.237142432,0.24648612399999997,0.234386018,0.23116998600000002,0.241578696,0.6294657204747,0.638146204,0.45719002700000005,0.611925987,0.6237773010000001,0.62787558,0.638261936,0.618586626,0.457393635,0.610124501,0.618586626,0.625615634,0.621740055,0.617085746,0.618166853
2,AllGestureWiimoteX,0.818885172798216,0.8161092529999999,0.808033445,0.8095451509999999,0.807083612,0.8183121520000001,0.807083612,0.80445039,0.806662207,0.802428094,0.80445039,0.810149387,0.8167045709999999,0.810033445,0.835518395,0.0645983238250465,0.037148224,0.05368349,0.04797030099999999,0.046458100999999995,0.052925367,0.036877907,0.08708612800000001,0.037479916,0.047284112999999996,0.08708612800000001,0.056526239000000006,0.09488515,0.049993179000000006,0.100161741,0.189685760509398,0.13737902300000002,0.173681383,0.155528126,0.162936112,0.173782555,0.139475398,0.227714626,0.141917965,0.172439786,0.227714626,0.179719913,0.228349553,0.17124146699999998,0.240578768
3,AllGestureWiimoteY,0.814358974358974,0.8238015609999999,0.821453735,0.824075808,0.8246376809999999,0.8286020070000001,0.8265685620000001,0.8278795990000001,0.8302185059999999,0.813625418,0.8278795990000001,0.822113712,0.8291081379999999,0.8242943140000001,0.839502787,0.0936326069939745,0.084556261,0.122362061,0.094096052,0.127788271,0.10958674800000001,0.08384752,0.151357029,0.096332313,0.091735546,0.151357029,0.122311658,0.158286765,0.10976941,0.135475982,0.228860725555608,0.20744298600000002,0.273103331,0.22273501399999998,0.284413448,0.2672768,0.20984268600000003,0.32371782600000004,0.23448021100000002,0.24495685,0.32371782600000004,0.278482242,0.340526115,0.262185654,0.310073327
4,AllGestureWiimoteZ,0.794515050167224,0.801150502,0.790860647,0.8021426979999999,0.78696767,0.80586845,0.805469342,0.799971014,0.814280936,0.794055741,0.799971014,0.79535563,0.813685619,0.7957012259999999,0.829114827,0.052765750318657,0.042081272,0.043582126,0.04020797,0.041815996,0.056853970999999996,0.029126709,0.078328958,0.032859869,0.031313715,0.078328958,0.04568922,0.094053426,0.045090359,0.07562788,0.194185279438375,0.157239803,0.168903931,0.156002766,0.167654463,0.184621974,0.124204279,0.22608994699999999,0.13985303699999999,0.152247989,0.22608994699999999,0.176656371,0.241669137,0.171668502,0.217904641
5,ArrowHead,0.677777777777778,0.6882539679999999,0.695079365,0.7012698409999999,0.6939682540000001,0.6893650790000001,0.6909523809999999,0.694603175,0.698253968,0.682063492,0.694603175,0.69984127,0.681111111,0.695396825,0.702698413,0.25951016154247,0.335737878,0.317336532,0.33047364,0.335408401,0.351320057,0.313213728,0.319604743,0.336156384,0.292331987,0.319604743,0.34060767399999997,0.27943107899999997,0.363011113,0.36703770399999996,0.348237881344148,0.425391375,0.387509192,0.40427495,0.409258413,0.44684098899999997,0.383237506,0.39466167799999996,0.41719055200000005,0.370121265,0.39466167799999996,0.409589145,0.35293471299999996,0.44517279200000004,0.46839972399999996
6,Beef,0.72183908045977,0.684597701,0.6505747129999999,0.6689655170000001,0.669885057,0.649425287,0.681149425,0.66045977,0.686896552,0.660689655,0.66045977,0.671724138,0.6763218390000001,0.686666667,0.652413793,0.0878606706524565,0.034053884,0.033040267000000005,0.033233088,0.04036239,0.038892741,0.042003387,0.013890646999999999,0.06528210200000001,0.049807545,0.013890646999999999,0.032960491,0.05200724,0.062433092,0.040098107,0.339948855810671,0.280512611,0.29918422100000003,0.29013506,0.304164333,0.299963031,0.288791641,0.24756910199999999,0.318831598,0.315505699,0.24756910199999999,0.286355511,0.319171506,0.314962681,0.28025747300000003
7,BeetleFly,0.605263157894737,0.636315789,0.658421053,0.666315789,0.677894737,0.544210526,0.51,0.5,0.5310526320000001,0.550526316,0.5,0.692631579,0.625263158,0.691578947,0.604210526,0.208772903942254,0.271328499,0.315811202,0.33188609399999996,0.35503237299999996,0.09492876300000001,0.023471284,-0.000835357,0.070001553,0.107399259,-0.000835357,0.38477260399999996,0.251726002,0.382253179,0.20723945,0.191858096681472,0.24481203199999998,0.283944915,0.301738584,0.31891208600000004,0.163670343,0.08561167300000001,0.037378286000000004,0.124983662,0.142119528,0.037378286000000004,0.361719622,0.23994096899999998,0.33854905799999996,0.200236188
8,BirdChicken,0.494736842105263,0.494736842,0.518421053,0.507368421,0.510526316,0.524736842,0.524736842,0.477894737,0.569473684,0.5626315789999999,0.477894737,0.518421053,0.5210526320000001,0.518421053,0.591578947,-0.0044052863436123395,-0.004405286,0.039360466000000004,0.019535638,0.024771882000000002,0.05281906,0.047509945,-0.018668989,0.13726260699999998,0.12464669199999999,-0.018668989,0.039360466000000004,0.044223328,0.039360466000000004,0.18768002,0.037050681076413,0.037050681,0.071741565,0.054909824,0.060177937,0.079061072,0.072840486,0.013571851999999999,0.138476028,0.132897564,0.013571851999999999,0.071741565,0.075596107,0.071741565,0.202308789
9,BME,0.657471264367816,0.6439080460000001,0.6505747129999999,0.6485057470000001,0.679310345,0.7356321840000001,0.658850575,0.693563218,0.6505747129999999,0.672873563,0.693563218,0.6641379310000001,0.740229885,0.66183908,0.693333333,0.247343668350462,0.204584198,0.225877907,0.208304194,0.297617558,0.41927118,0.223360189,0.3315616,0.232127079,0.282921274,0.3315616,0.2544927,0.427118476,0.259578915,0.324370121,0.310445886713286,0.280582238,0.313235681,0.287714841,0.394665867,0.556269314,0.299080809,0.436471767,0.322783506,0.382243216,0.436471767,0.357649944,0.565473935,0.34840708600000003,0.435736358
10,Car,0.63954802259887,0.6741242940000001,0.651186441,0.663107345,0.6975706209999999,0.5851412429999999,0.6791525420000001,0.679548023,0.6722598870000001,0.66039548,0.679548023,0.666497175,0.5546327679999999,0.666384181,0.6584180789999999,0.206415242314401,0.24003120100000003,0.22660821399999997,0.24370508800000001,0.285430519,0.081593716,0.24523639100000003,0.266079316,0.218789824,0.155649133,0.266079316,0.251148449,0.08687681900000001,0.263750512,0.11712133699999999,0.314596831757084,0.379065036,0.35361859700000003,0.380625073,0.418736754,0.191269417,0.37856595600000004,0.40587291299999995,0.337457134,0.287192137,0.40587291299999995,0.366631775,0.21048318,0.414086688,0.22229573800000002
